date,BTC_USDe,BTC_USDC,ETH_USDe,ETH_USDC
2025-07-26,-0.0003976236114375498,-0.00025337916631020294,-0.00038401499070369834,-0.00026727396734243294
2025-07-27,-0.00039744173462079237,-0.0002533091830485841,-0.00038448757740469505,-0.00026773852829727485
2025-07-28,-0.00039730417199993357,-0.00025460222072779296,-0.00038552987823711136,-0.00026791891959393666
2025-07-29,-0.0003886589887414197,-0.0002544662407843005,-0.0003798243299899979,-0.000267692866766369
2025-07-30,-0.00038638041697373145,-0.00025441611545760456,-0.0003797982161029126,-0.00026820937178857404
2025-07-31,-0.0003925009575688109,-0.00025396981373029413,-0.00039013053905032324,-0.0002679115307187668
2025-08-01,-0.0003822272227002466,-0.00025573911822987473,-0.000389709829643191,-0.0002701425924285802
2025-08-02,-0.0003681631243183335,-0.00027720175138061786,-0.00038346979001584343,-0.0002854014639254162
2025-08-03,-0.0003377087115304526,-0.0002845895647170399,-0.0003878246118666524,-0.0002854208943444855
2025-08-04,-0.0003378677176228959,-0.0002809875995590608,-0.0003882735315974137,-0.00029137902986612273
2025-08-05,-0.0003625073305995411,-0.0002803756551453793,-0.0003761486875690466,-0.0002874616070949259
2025-08-06,-0.00035175293918386294,-0.00028521261703741603,-0.000374763103482303,-0.000288088740636453
2025-08-07,-0.00036381618310470467,-0.00026432780993522584,-0.0003772210900462471,-0.0002810871373605755
2025-08-08,-0.00036582501723080014,-0.00025903132668455095,-0.00037185729984153296,-0.0002727018433168854
2025-08-09,-0.0003886754980447641,-0.00025979361527485664,-0.0004074872751678691,-0.0002647309296160796
2025-08-10,-0.0003869719859442894,-0.0002590476911710978,-0.0004080579391462952,-0.00023313677486930267
2025-08-11,-0.00036707767671284786,-0.00026074543482395424,-0.00040136501583863703,-0.0002693632435587602
2025-08-12,-0.00036771552473272695,-0.0002620430431759089,-0.0003953650563105889,-0.0002607538960594154
2025-08-13,-0.0003651017747983389,-0.00027620107437834263,-0.000390126222078702,-0.00026020957862170585
2025-08-14,-0.0003663781359836465,-0.0002759299598306337,-0.00038265037422164256,-0.0002698000068924424
2025-08-15,-0.00036480113131030225,-0.00027326894701282944,-0.00039023179714277784,-0.0002676556047461195
2025-08-16,-0.0003674003068205751,-0.00027294307965983016,-0.00039091560319057906,-0.00025372845358510393
2025-08-17,-0.0003644407511445351,-0.0002782927948556249,-0.000390923604298273,-0.00027084321455401913
2025-08-18,-0.00037390756690003113,-0.0002775382768294457,-0.0004065192838144299,-0.0002568273984946116
2025-08-19,-0.0003736140115804398,-0.00027303911152339413,-0.00039146434927249917,-0.0002552740320831519
2025-08-20,-0.00039983739949491436,-0.00027209351880679196,-0.00039902476440421716,-0.00025859363283251024
2025-08-21,-0.0003747671695479468,-0.0003318936785601407,-0.00039429487457840173,-0.0002795562316265396
2025-08-22,-0.0003742127702335538,-0.0003302358542019096,-0.0003977706425981036,-0.00030482473319290557
2025-08-23,-0.00035945874830907855,-0.00033340272263864673,-0.00037996736308118414,-0.00029248213212590814
2025-08-24,-0.0003525317053129465,-0.0003332183008629812,-0.00037859949109126143,-0.0002882482070733692
2025-08-25,-0.0003669332990915963,-0.00033103728810939854,-0.00039367210561509005,-0.0002729199770049123
2025-08-26,-0.00036253754557646575,-0.0003304458879475112,-0.00039425303021246465,-0.0002791757332164234
2025-08-27,-0.0003625898319384805,-0.0003314683456175944,-0.00039550281215051616,-0.00027897101473978614
2025-08-28,-0.0003610584813144815,-0.00033058758248072264,-0.00039425726817369074,-0.0002787735034972683
2025-08-29,-0.00035828140382284496,-0.00033251384750638375,-0.0003934770944273801,-0.0002746810531376677
2025-08-30,-0.00037864499917537723,-0.000347940827441517,-0.000379185945319821,-0.0003015976044876133
2025-08-31,-0.0003786775579471984,-0.00034741734686562085,-0.00038554952640874483,-0.00030032031439522835
2025-09-01,-0.00037958706809893895,-0.00031302024416813917,-0.0003999929327193334,-0.00029917885671315613
2025-09-02,-0.00037832908593206686,-0.0003168821778118508,-0.00038679007862229506,-0.00030061929626143483
2025-09-03,-0.0003844985709455794,-0.00033032148281270877,-0.00040325821856649713,-0.00030058596415221057
2025-09-04,-0.0003843442654393129,-0.00032985161455930653,-0.00040283090480952024,-0.00027201383249450816
2025-09-05,-0.0003813065777783437,-0.00032150991418868763,-0.00039314379600902973,-0.0002997703818345694
2025-09-06,-0.00040283882907568385,-0.00034883290155552634,-0.00038125006405915807,-0.0002980288021238546
2025-09-07,-0.00040287480716940803,-0.00034880750787192824,-0.00038603526712205447,-0.000298180690590838
2025-09-08,-0.0004030642436643167,-0.00034865221714060896,-0.0003824375313971808,-0.00029800341573379117
2025-09-09,-0.00040208701138095214,-0.00034919229283891497,-0.00037956082877298414,-0.0002985018747346368
2025-09-10,-0.00040139109482938807,-0.0003491700512038886,-0.00037937887680895545,-0.0002984904885160713
2025-09-11,-0.0003841995195969879,-0.00034893360952968275,-0.00036054886625281913,-0.00029761534449322007
2025-09-12,-0.0003947838673157311,-0.00034660676870913547,-0.0003627788928880535,-0.0002985160015702732
2025-09-13,-0.0003956222337308024,-0.00034738338460428596,-0.00037599753332597695,-0.0003000677669641544
2025-09-14,-0.00039460366883697467,-0.0003444378247310096,-0.00036265906352709346,-0.00029865408345863635
2025-09-15,-0.0003956305755022163,-0.00034542992888878465,-0.00037568816736635797,-0.00030025547132395895
2025-09-16,-0.00039657305193435975,-0.00034769887665610656,-0.0003763659759662878,-0.0002987903100889672
